id_local;id_osm;code_com;coordonneesxy;capacite;capacite_cargo;type_accroche;mobilier;acces;gratuit;protection;couverture;surveillance;lumiere;url_info;d_service;source;proprietaire;gestionnaire;date_maj;commentaires
node/7899913938;node/7899913938;"08105";"[4.7217106,49.7399463995125]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;true;false;;;;OpenStreetMap;;Campus Sup Ardennes;2023-04-16;3 arceaux
node/7899934474;node/7899934474;"08105";"[4.7226156999999995,49.73937219951264]";;;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Campus Sup Ardennes;2023-04-16;
node/7900111647;node/7900111647;"08105";"[4.721791499999999,49.73876249951277]";"28";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;true;false;;;;OpenStreetMap;;Campus Sup Ardennes;2023-04-16;
node/7900137393;node/7900137393;"08105";"[4.719918399999999,49.73880279951277]";"14";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Campus Sup Ardrennes;2023-04-16;
node/7905913754;node/7905913754;"08105";"[4.7201602,49.77245439950484]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;Ville de Charleville-Mézières;2023-04-16;
node/7937401874;node/7937401874;"08105";"[4.7226058,49.770494599505334]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-09-24;
node/7942773109;node/7942773109;"08105";"[4.7214691,49.772100599504945]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-09-25;
node/7947437039;node/7947437039;"08105";"[4.719159599999999,49.76321499950702]";"2";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-09-27;
node/7947437040;node/7947437040;"08105";"[4.719344699999999,49.7629100995071]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-03-23;
node/7959134487;node/7959134487;"08105";"[4.719569300000001,49.76396659950683]";"2";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-09-30;
node/7959134488;node/7959134488;"08105";"[4.7191965,49.764004699506835]";"2";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-09-30;
node/8094025907;node/8094025907;"08105";"[4.720493199999999,49.77322269950468]";"8";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2023-04-15;
node/8257682521;node/8257682521;"08105";"[4.7178371,49.77219239950492]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2020-12-24;
node/8682239919;node/8682239919;"08105";"[4.7341014999999995,49.77542789950416]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-05-01;
node/8687849977;node/8687849977;"08105";"[4.734651099999999,49.775645099504096]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-05-01;
node/8866552429;node/8866552429;"08105";"[4.718513099999999,49.76062499950761]";"6";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-06-25;
node/8866552430;node/8866552430;"08105";"[4.7184654,49.75980509950783]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-06-25;
node/8866552431;node/8866552431;"08105";"[4.7192405,49.76004739950774]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-07-11;
node/8866552432;node/8866552432;"08105";"[4.7192465,49.760284499507705]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-07-11;
node/8866552433;node/8866552433;"08105";"[4.719258399999999,49.76040819950768]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-06-25;
node/8872228233;node/8872228233;"08105";"[4.7178815,49.770827299505214]";"4";;CADRE ET ROUE;ARCEAU;LIBRE ACCES;true;AUTRE;false;false;;;;OpenStreetMap;;;2021-06-28;
node/8874983618;node/8874983618;"08105";"[4.7060497,49.73971009951256]";"8";;;AUTRE;LIBRE ACCES;true;CONSIGNE COLLECTIVE FERMEE;true;false;;;;OpenStreetMap;;;2021-08-12;
node/9825295451;node/9825295451;"08105";"[4.7193529,49.77045129950532]";"2";;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;;;;OpenStreetMap;;ardenne-métropole;2022-06-17;
node/9825295452;node/9825295452;"08105";"[4.720153899999999,49.76038499950769]";"6";;;AUTRE;LIBRE ACCES;true;BOX INDIVIDUEL FERME;true;false;;;;OpenStreetMap;;Ardenne-Métropole;2022-06-17;
way/897589367;way/897589367;"08105";"[4.7305614119002195,49.74447669191931]";;;;AUTRE;LIBRE ACCES;true;CONSIGNE COLLECTIVE FERMEE;false;false;;;;OpenStreetMap;;;2022-10-18;
way/958615044;way/958615044;"08105";"[4.725400566588494,49.76836520413426]";"40";;;AUTRE;LIBRE ACCES;true;CONSIGNE COLLECTIVE FERMEE;true;false;;;;OpenStreetMap;;SNCF;2021-12-30;
